id	filename	md5	size	state
18cd55a9-2eca-4581-8192-51410f2a2284	0d8dd66a-6753-4472-9c4f-906ad5159ddd.htseq.counts.gz	24817de985965aec3610bd7b68e028ad	252778	validated
19059ef3-3aff-42ef-b3f2-f300cb441d95	544c50ac-30ea-421a-b30e-6b417c389d0a.htseq.counts.gz	2508388f749d18a7f79e973716ba03ed	255534	validated
1a05dade-259f-4cd7-9d6b-76ab0448e944	97b0d130-7cc6-45e6-9b74-6a43903f5ef4.htseq.counts.gz	0a4cec44de5b6654f21d96d78f61e449	254512	validated
1a0e571e-f07d-4cbf-b5ab-33f94715bdb1	6f8c77f2-67de-411d-a03d-5fef3216b71b.htseq.counts.gz	d034b4a653706b76661e4cc58add7023	252986	validated
1b6720b3-d16c-47d3-b372-dbbe40042b67	f2b50fcc-e5ec-4328-a932-2c06476760cf.htseq.counts.gz	7964afdc24979769e28aea697fcc4763	255527	validated
1bba5f6d-7583-4592-82b7-4b8e4b6e5530	7936117f-4540-4f26-bde6-878d6ea8b837.htseq.counts.gz	8bd09bc746a03aa1b7f8ad7d7830532b	253392	validated
1f144c57-45a9-491c-9530-d755b7ec3913	bd587a68-76f5-44f2-ac6b-f87523560f60.htseq.counts.gz	5a5976cc589b5e24796bca8c4fc5fbd2	256789	validated
1f79cc88-2182-4d30-b487-a7a36c0baddd	74a0acc6-747d-4e2e-9cbf-c5b9c8cba8d7.htseq.counts.gz	9c0a7a4abd99532ce7af641c979c1198	248704	validated
220a03f7-7ab6-4233-8f65-7ac5decca4b9	60040f95-8414-4956-bd8a-ec461a49207c.htseq.counts.gz	8d51d9fbb4bc6ff07b7084e02d38f5b1	258062	validated
239633be-52a2-423e-ba21-1a3756d99a98	8cc54da6-dadc-48b1-9dd0-535cf2ac58b1.htseq.counts.gz	c68447eaa8ebfba93c4047fd23d464a9	256072	validated
29dec939-10b2-4455-8385-8f1184187a41	f490e7cb-8d67-47af-85c0-5dd5c7139efd.htseq.counts.gz	a6c4327910da35444edfc7d26b628ab4	256868	validated
2a2f0f28-68dc-4ef8-91de-a051c48013fa	306df79f-3f2c-4631-b527-7d79336bc573.htseq.counts.gz	16c0191e4d8c309cb91e0d1e2259b04a	257530	validated
2de65f22-7c45-4909-a175-34e5a4570a19	e6862c5b-459e-40b5-9213-5fd7e1448be1.htseq.counts.gz	38d59cc30aabb8ba5b67a4373bd3e3a0	256976	validated
2f0a7016-5225-424e-b6c5-1ce6d4fbd7be	dd6421a8-7d49-4b5e-8e35-21a82f3b351d.htseq.counts.gz	fc1c66d0f9bf27060db3b33ce1d4e4b8	251366	validated
2f89d3d9-0480-4213-aab2-b19870c366b5	7e45a7f3-2613-498c-aa3b-d8cdc5001386.htseq.counts.gz	b63c66e0691ed0479c18939c38b5a0b2	252438	validated
31afa2b8-59df-4353-acfb-dc4fd191fb8c	513de6b7-faa2-4611-9f68-1334204ef397.htseq.counts.gz	6ed79d39ad523e8c74607f3e0a0c75e3	255849	validated
3209225e-89f5-4dba-9bd8-f2df19ea6588	ba92f745-0592-4aca-9924-533486427c1b.htseq.counts.gz	a457436574378e31b25dcda12eef6a71	255920	validated
33441b33-8476-4e17-8ade-9ee764c6d270	e3863ab8-9fcd-49f7-aae2-7ac7a8ef0016.htseq.counts.gz	71f693f901e3267d224702befbb2963b	253431	validated
3a8e06c5-7331-4b7f-a4aa-443862a75194	a7a24ac0-69a4-49c1-9463-b219a1ac17b8.htseq.counts.gz	9e5b5c5699ecf9359535ef96b53436b6	251086	validated
3fba142f-1099-4b41-a8aa-b04043911424	4f49b63a-11d8-46f2-b359-fddc8b911a60.htseq.counts.gz	636aecfc9ffdf28f9df1103dcf8ad21c	259869	validated
4191f855-52c0-441e-b566-812c6dd5ca65	fb6c4eb2-06bf-44ce-9b90-a669c793ae8b.htseq.counts.gz	7cd81feba13dd07f473bec33552091b2	255443	validated
420620ef-b021-41d0-b9b5-6db001877f9e	7de8a287-f8b9-4d49-a030-5be4690a02fa.htseq.counts.gz	589f017c8cffa53671b5cfc8687531a1	242423	validated
4221fb8c-44e6-4e2a-9207-d8868cfb6ce5	118933b6-86c7-4668-9973-424ece352a60.htseq.counts.gz	252f347b3a007eeb1b663db8c5e27278	253864	validated
42911e89-2317-4792-905e-00d05e89c27f	a761dcfa-a669-404a-9881-81938b1756b8.htseq.counts.gz	d1171181787db069d9ff0ef19519b3c7	253403	validated
429458b7-7505-44bf-a459-87e6704d792b	ce73fb18-2274-4f66-81e4-4e17ee353aef.htseq.counts.gz	af3ac065887299de2cff913513900d99	257811	validated
4a109268-236f-4bcb-8224-fa841859a5e6	cde3831b-6eaf-4404-8357-f700f77f94e3.htseq.counts.gz	da81d8784b7879c8793ac3fd88ec5e94	256667	validated
4a8ce207-c99e-4ad1-b508-83e24c99df7f	0bf74e1f-d863-4e04-8d7b-f3b9e87aa3f2.htseq.counts.gz	9a7660ac7f36c3af8281a074b7f94e1a	254011	validated
4b607642-7124-4d8c-ae6f-3d3b88ce08ad	9813b5d6-2309-4e67-85c0-1fae01d9672d.htseq.counts.gz	dc87fbb63b404032fb7d2868a596c261	256506	validated
4d0eae03-756b-4a68-904a-73fe35e52363	6bc9fb91-4915-4afc-b685-80ce6d6d6650.htseq.counts.gz	07fa4a4a181d9ef1cac0793c2a5097c0	255864	validated
4d55e364-91eb-4b5c-b574-36d45c128545	4ea3ac9e-85e8-4506-8c17-f1d9ed349cca.htseq.counts.gz	47f0fc08d8abe6544190c44de2dab797	257043	validated
515d4301-f912-4617-bdd1-6fda9e268c56	ab23d90a-ed58-4aec-b9bc-ba14d833ae68.htseq.counts.gz	3993e647a955385f7502261f3f97a978	256171	validated
519ae60d-ff36-488c-9fe8-6387ba54bd66	b918773c-1920-42aa-8493-22344ea5ac49.htseq.counts.gz	f63d53cedcdc9e51f52347b3d8056eb1	255261	validated
522327ca-79dc-44ba-9579-f03c3aa183c0	836818ee-32d4-4dad-961a-f38fafb20cc3.htseq.counts.gz	4b8b9e27f68714d887e549c92dc1ca86	252078	validated
547fb1a8-ca5a-4a2f-bbef-ed6b57c6119a	da7e58d4-34e4-4809-95d1-becd983d1da4.htseq.counts.gz	504ffec14d77a40667edf3584a064b5e	253141	validated
560332ef-6eaa-491b-9d9f-ed29adee16d8	dc55b4b9-f3e6-4772-8421-26b04b750716.htseq.counts.gz	45440ac589a237672801712b2a6a392f	250755	validated
56c973c3-545c-4ab7-8cbe-f91be80e8019	c622f68c-e37c-45ee-a266-ae704629f0f6.htseq.counts.gz	b83317322908c732d40f08c252e987ff	253677	validated
574abc9e-aeb3-4e64-bc64-d21d619401fe	00068002-f4f0-4610-bfe6-67169c760d21.htseq.counts.gz	b1d23983bbf60f804c4c32edefb8b2ab	248852	validated
